date	freq(Hz)
20070718	0.1167332798974349
20070719	0.095844785794052
20070721_2	0.106472094186533
20070721	nan
20070722_2	nan
20070722	0.1010187856804485
20070723	nan
20070724_2	0.0909357888439323
20070724	nan
20070725_2	0.106472094186533
20070725_2	0.0613031010798211
20070725	nan
20070726_2	0.0178193397785098
20070726	0.0983977838912942
20070727_2	0.0195366682119359
20070727	nan
20070728_2	nan
20070728	0.084039674123188
20070729	nan
20070731_2	0.1037096025620477
20070731_2	0.058932817533013
20070731	nan
20070801_2	nan
20070801	nan
20070802	nan
20070803_2	0.1122197892610386
20070803_2	0.0690014413337484
20070803	0.1078808126770422
20070805_2	0.106472094186533
20070805_2	0.0681004135803737
20070805	0.0756514148245023
20070806_2	0.1010187856804485
20070806	0.0945932349518168
20070807_2	nan
20070807	nan
20070808_2	nan
20070808	0.1078808126770422
20070809_2	nan
20070809	nan
20070810_2	0.105081770883604
20070810	0.095844785794052
20070811	0.106472094186533
20070812	0.0516741181025528
20070813_2	0.0909357888439323
20070813_2	0.0241093283236258
20070813	nan
20070814_2	0.0851515921687398
20070814	0.0945932349518168
20070815	nan
20070816_2	0.0496761390480378
20070816	nan
20070817_2	0.1107544119783671
20070817	nan
20070819_2	0.078694121950304
20070819	nan
20070820_2	0.1023553521522934
20070820	nan
20070821_2	nan
20070821	nan
20070822_2	nan
20070822	0.0862782218579638
20070823_2	0.0756514148245023
20070823	nan
20070824_2	0.0736885868982758
20070824_2	0.0257470322488125
20070824	nan
20070828_2	0.1037096025620477
20070828	nan
20070829	nan
20070830	0.078694121950304
20070831_2	0.1078808126770422
20070831_2	0.0523578116675942
20070831	0.0621141944717234
20070901	0.1023553521522934
20070902	nan
20070903_2	0.0909357888439323
20070903	nan
20070904_2	0.1093081697394764
20070904	nan
20070905	0.1182777628073061
20070906_2	0.1010187856804485
20070906	0.1093081697394764
20070906	0.0766523488975163
20070907_2	0.0717766858909564
20070907	nan
20070908_2	0.1010187856804485
20070908	0.0681004135803737
20070909_2	0.0818592070471573
20070909_2	0.0516741181025528
20070909	0.0818592070471573
20070910_2	nan
20070910	0.1093081697394764
20070911_2	nan
20070911	0.084039674123188
20070912_2	0.0672111515379269
20070912	0.0933580269862203
20070913_2	nan
20070913	nan
20070914_2	nan
20070914	nan
20070915_2	0.095844785794052
20070915	0.0654673120406945
20070916	0.0503333976109385
20070917_2	0.0945932349518168
20070917	nan
20070918_2	0.0996996722278751
20070918	0.0909357888439323
20070919_2	nan
20070919	0.0897483401770689
20070920_2	0.0483872574955011
20070920	0.0574037650983249
20070922_2	0.0530505510936594
20070922	nan
20070923_2	0.105081770883604
20070923	nan
20070924_2	0.0690014413337484
20070924	0.0874197578387123
20070925_2	nan
20070925	nan
20070926_2	0.105081770883604
20070926	0.1023553521522934
20070927_2	nan
20070927	0.1037096025620477
20070928_2	nan
20070928	0.1023553521522934
20070929_2	0.106472094186533
20070929	0.0983977838912942
20070930_2	0.1078808126770422
20070930	nan
20071001_2	nan
20071001	nan
20071002_2	nan
20071002	0.058932817533013
20071003_2	0.1037096025620477
20071003	0.0776665261996338
20071004_2	0.0862782218579638
20071004	0.105081770883604
20071005_2	0.1078808126770422
20071005	0.0897483401770689
20071006_2	0.1078808126770422
20071006	0.1010187856804485
20071007_2	nan
20071007	0.0708394187153303
20071008_2	0.105081770883604
20071008	0.0996996722278751
20071008	0.0402543875799502
20071009_2	0.0321936486776068
20071009	0.0909357888439323
20071010_2	0.0629360193352609
20071010	0.0150204255903023
20071011_2	0.0921389484903374
20071011	nan
20071012_2	0.0797353136872821
20071012	0.084039674123188
20071013_2	0.0313583623472966
20071013	0.084039674123188
20071014	0.105081770883604
20071015	0.058932817533013
20071016_2	nan
20071016	0.095844785794052
20071017_2	nan
20071017	0.095844785794052
20071018_2	0.084039674123188
20071018	0.0197951553391345
20071019_2	nan
20071019	0.105081770883604
20071020_2	nan
20071020	0.0933580269862203
20071021	0.0983977838912942
20071022	0.1078808126770422
20071023	nan
20071024	0.0672111515379269
20071025	0.0376939072920246
20071026_2	nan
20071026	0.0178193397785098
20071027_2	nan
20071027	0.1107544119783671
20071027	0.0717766858909564
20071028	0.0699143904686489
20071029	nan
20071030	0.0807902812973025
20071031	nan
20071101	nan
20071102	0.0690014413337484
20071103	0.1023553521522934
20071104	nan
20071105	0.0862782218579638
20071107	0.0523578116675942
20071108	0.084039674123188
20071109	nan
20071110	0.0435575759568795
20071111	nan
20071112	nan
20071113	0.0945932349518168
20071114	nan
20071115	nan
20071117	0.0708394187153303
20071118_2	0.1037096025620477
20071118	0.0971128957434104
20071119	0.0996996722278751
20071120	0.0897483401770689
20071121	0.0807902812973025
20071122	0.0581632668808031
20071123	nan
20071124_2	0.0921389484903374
